附属设施(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
综合管廊(巡查项目) ||| 巡查子项目 ||| 本体(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 附属设施设备(巡查项目)
附属设施设备(巡查项目) ||| 巡查内容 ||| 台账(内容)
本体(巡查项目) ||| 巡查内容 ||| 台账(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 各部件功能(内容)
各部件功能(内容) ||| 巡查方法 ||| 全面检测(巡查方法)
基本技术状况(内容) ||| 巡查方法 ||| 全面检测(巡查方法)
排水沟(巡查项目) ||| 巡查内容 ||| 清淤(内容)
集水坑(巡查项目) ||| 巡查内容 ||| 清淤(内容)
结构表面(巡查项目) ||| 巡查内容 ||| 渗漏点(内容)
结构表面(巡查项目) ||| 巡查内容 ||| 渗流(内容)
管道(巡查项目) ||| 巡查方法 ||| 按照相关要求执行(巡查方法)
消防系统(系统) ||| 巡查项目 ||| 防火分离(巡查项目)
天然气安全生产事故应急预案(内容) ||| 巡查方法 ||| 与综合管廊运营管理相协同(巡查方法)
运行状态(内容) ||| 巡查方法 ||| 监控(巡查方法)
入廊管线(巡查项目) ||| 巡查内容 ||| 运行管理(内容)
自动化系统(巡查项目) ||| 巡查内容 ||| 根据入廊管线综合管廊段的特点进行参数设置(内容)
自动化系统(巡查项目) ||| 巡查内容 ||| 与综合管廊运行管理信息化系统实现关键信息共享(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 基本技术状况(内容)
给水、再生水管道(巡查项目) ||| 巡查周期 ||| 根据管道建设时长适度加密(巡查周期)
海水输送管道(巡查项目) ||| 巡查周期 ||| 根据管道建设时长适度加密(巡查周期)
中间接头(巡查项目) ||| 巡查内容 ||| 渗胶(内容)
中间接头(巡查项目) ||| 巡查内容 ||| 外观应正常(内容)
中间接头(巡查项目) ||| 巡查内容 ||| 摆放应合理(内容)
中间接头(巡查项目) ||| 巡查子项目 ||| 两端电缆(巡查项目)
两端电缆(巡查项目) ||| 巡查内容 ||| 平直(内容)
防水等级(内容) ||| 需要 ||| 满足设计标准(内容)
接缝处(巡查项目) ||| 巡查内容 ||| 密封(内容)
管道(巡查项目) ||| 巡查内容 ||| 密封(内容)
天然气管道(巡查项目) ||| 巡查内容 ||| 压力等级及管廊内外环境(内容)
排水管道(巡查项目) ||| 巡查内容 ||| 井下维护作业(内容)
预埋排管(巡查项目) ||| 需要 ||| 管材(巡查项目)
中间接头(巡查项目) ||| 巡查内容 ||| 不应过热(内容)
中间接头(巡查项目) ||| 巡查内容 ||| 漏油(内容)
防水等级(内容) ||| 需要 ||| 按现行国家标准《地下工程防水技术规范》GB 50108(内容)
管廊(巡查项目) ||| 巡查方法 ||| 不宜大于1个月(巡查方法)
天然气管道(巡查项目) ||| 巡查方法 ||| 不宜大于1个月(巡查方法)
井下维护作业(内容) ||| 维护方法 ||| 履行审批手续(维护方法)
井下维护作业(内容) ||| 需要 ||| 执行当地排水管道下井许可制度(内容)
井下维护作业(内容) ||| 需要 ||| 符合综合管廊运行管理的作业管理要求(内容)
预埋排管(巡查项目) ||| 巡查子项目 ||| 管路(巡查项目)
管材(巡查项目) ||| 巡查内容 ||| 包封完好(内容)
消防系统(系统) ||| 巡查内容 ||| 正常的工作状态(内容)
监控中心(巡查项目) ||| 巡查内容 ||| 监控探头(内容)
承重结构体(巡查项目) ||| 巡查子项目 ||| 钢筋混凝土结构建造的综合管廊结构(巡查项目)
支架(巡查项目) ||| 巡查内容 ||| 牢固(内容)
桥架(巡查项目) ||| 巡查内容 ||| 牢固(内容)
附属设备(巡查项目) ||| 巡查内容 ||| 牢固(内容)
附属设备(巡查项目) ||| 巡查内容 ||| 无丢失缺损(内容)
附属阀件(巡查项目) ||| 巡查内容 ||| 异物清理(内容)
水泵(巡查项目) ||| 巡查内容 ||| 异物清理(内容)
附属阀件(巡查项目) ||| 巡查内容 ||| 润滑(内容)
水泵(巡查项目) ||| 巡查内容 ||| 润滑(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 巡查(内容)
各类消防设施(巡查项目) ||| 巡查内容 ||| 巡查(内容)
各类消防设施(巡查项目) ||| 巡查内容 ||| 维护保养(内容)
供电系统(巡查项目) ||| 维护方法 ||| 维修(维护方法)
钢筋混凝土结构(巡查项目) ||| 维护方法 ||| 维修(维护方法)
元器件(巡查项目) ||| 维护方法 ||| 维修(维护方法)
设备(巡查项目) ||| 维护方法 ||| 维修(维护方法)
应急照明(巡查项目) ||| 维护方法 ||| 维修(维护方法)
天然气管道(巡查项目) ||| 维护方法 ||| 维修(维护方法)
排水管道(巡查项目) ||| 维护方法 ||| 维修(维护方法)
管廊本体(巡查项目) ||| 维护方法 ||| 维修(维护方法)
电器元件(巡查项目) ||| 维护方法 ||| 维修(维护方法)
电机(巡查项目) ||| 维护方法 ||| 维修(维护方法)
消防系统(系统) ||| 维护方法 ||| 维修(维护方法)
管道(巡查项目) ||| 维护方法 ||| 维修(维护方法)
入廊管线(巡查项目) ||| 维护方法 ||| 维修(维护方法)
管线(巡查项目) ||| 维护方法 ||| 维修(维护方法)
缺损(内容) ||| 维护方法 ||| 维修(维护方法)
本体(巡查项目) ||| 维护方法 ||| 维修(维护方法)
损坏(内容) ||| 维护方法 ||| 维修(维护方法)
堵塞(内容) ||| 维护方法 ||| 维修(维护方法)
变形缝(巡查项目) ||| 巡查子项目 ||| 填缝材料(巡查项目)
故障维修(维护方法) ||| 维护内容 ||| 确保消防安全的有效措施(内容)
消防系统(系统) ||| 巡查内容 ||| 确保消防安全的有效措施(内容)
供电系统(巡查项目) ||| 维护方法 ||| 保养(维护方法)
管廊本体(巡查项目) ||| 维护方法 ||| 保养(维护方法)
消防系统(系统) ||| 维护方法 ||| 保养(维护方法)
本体(巡查项目) ||| 维护方法 ||| 保养(维护方法)
监控中心(巡查项目) ||| 巡查内容 ||| 巡查发现事件(内容)
其他结构形式(巡查项目) ||| 维护方法 ||| 按照相关国家现行标准执行(维护方法)
电缆(巡查项目) ||| 巡查子项目 ||| 附属设备(巡查项目)
线缆(巡查项目) ||| 巡查子项目 ||| 附属设备(巡查项目)
入廊管线(巡查项目) ||| 巡查子项目 ||| 防雷接地装置(巡查项目)
管廊(巡查项目) ||| 巡查子项目 ||| 供配电设备(巡查项目)
供配电设备(巡查项目) ||| 巡查子项目 ||| 主要低压进线柜(巡查项目)
供配电设备(巡查项目) ||| 巡查子项目 ||| 高压开关柜(巡查项目)
主要低压进线柜(巡查项目) ||| 巡查内容 ||| 负荷情况(内容)
高压开关柜(巡查项目) ||| 巡查内容 ||| 负荷情况(内容)
变压器(巡查项目) ||| 巡查内容 ||| 负荷情况(内容)
排水管道(巡查项目) ||| 巡查子项目 ||| 附属阀件(巡查项目)
金属构件(巡查项目) ||| 巡查内容 ||| 防腐(内容)
法兰(巡查项目) ||| 巡查内容 ||| 防腐(内容)
管道(巡查项目) ||| 巡查内容 ||| 防腐(内容)
附属阀件(巡查项目) ||| 巡查内容 ||| 防腐(内容)
水泵(巡查项目) ||| 巡查内容 ||| 防腐(内容)
消防系统(系统) ||| 巡查内容 ||| 维修(内容)
各类消防设施(巡查项目) ||| 巡查内容 ||| 维修(内容)
维护保养(内容) ||| 需要 ||| 国家标准《建筑消防设施的维护管理》GB 25201(内容)
检测(内容) ||| 需要 ||| 国家标准《建筑消防设施的维护管理》GB 25201(内容)
维修(内容) ||| 需要 ||| 国家标准《建筑消防设施的维护管理》GB 25201(内容)
巡查(内容) ||| 需要 ||| 国家标准《建筑消防设施的维护管理》GB 25201(内容)
消防控制室值班(内容) ||| 需要 ||| 国家标准《建筑消防设施的维护管理》GB 25201(内容)
管道(巡查项目) ||| 巡查子项目 ||| 附件防腐涂层(巡查项目)
支架(巡查项目) ||| 巡查内容 ||| 固定应牢靠(内容)
消防设施(巡查项目) ||| 巡查周期 ||| 巡检每周不应少于1次(巡查周期)
消防控制室(巡查项目) ||| 巡查内容 ||| 管理(内容)
隧道(巡查项目) ||| 巡查内容 ||| 管理(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 管理(内容)
系统(巡查项目) ||| 巡查内容 ||| 显示应正常(内容)
电力电缆(巡查项目) ||| 巡查内容 ||| 执行状态评价和管理(内容)
外机(巡查项目) ||| 巡查内容 ||| 遮挡物体(内容)
遥控器(巡查项目) ||| 巡查内容 ||| 电力状况(内容)
集中监控的功能(内容) ||| 需要 ||| 正常(内容)
启闭操作功能(内容) ||| 需要 ||| 正常(内容)
运行(内容) ||| 需要 ||| 正常(内容)
控制功能(内容) ||| 需要 ||| 正常(内容)
排水(内容) ||| 需要 ||| 正常(内容)
子系统(巡查项目) ||| 巡查内容 ||| 正常(内容)
故障报警(内容) ||| 需要 ||| 正常(内容)
运行状态显示(内容) ||| 需要 ||| 正常(内容)
启停控制(内容) ||| 需要 ||| 正常(内容)
手动或自动状态监视(内容) ||| 需要 ||| 正常(内容)
外观(巡查项目) ||| 巡查内容 ||| 正常(内容)
准确反馈(内容) ||| 需要 ||| 正常(内容)
事故通风功能(内容) ||| 需要 ||| 正常(内容)
功能(内容) ||| 需要 ||| 正常(内容)
水位(内容) ||| 需要 ||| 正常(内容)
敷设状况(内容) ||| 需要 ||| 正常(内容)
监控的功能(内容) ||| 需要 ||| 正常(内容)
接地功能(内容) ||| 需要 ||| 正常(内容)
温度补偿措施(内容) ||| 需要 ||| 正常(内容)
运行状态(内容) ||| 需要 ||| 正常(内容)
穿墙保护功能(内容) ||| 需要 ||| 正常(内容)
远程通信系统功能(巡查项目) ||| 巡查内容 ||| 正常(内容)
无线通信系统(巡查项目) ||| 巡查内容 ||| 正常(内容)
固定语音通信系统(巡查项目) ||| 巡查内容 ||| 正常(内容)
事故通风(内容) ||| 需要 ||| 正常(内容)
与其他附属设施系统联动控制(内容) ||| 需要 ||| 正常(内容)
机器运行(巡查项目) ||| 巡查内容 ||| 正常(内容)
常用照明设备(巡查项目) ||| 巡查内容 ||| 满足安全巡查的要求(内容)
线缆(巡查项目) ||| 巡查内容 ||| 倾斜(内容)
结构(巡查项目) ||| 巡查内容 ||| 倾斜(内容)
垃圾输送管道(巡查项目) ||| 巡查内容 ||| 磨损(内容)
垃圾输送管道(巡查项目) ||| 巡查内容 ||| 淤堵(内容)
垃圾输送管道(巡查项目) ||| 巡查内容 ||| 管道严密性(内容)
运行维护及安全管理(内容) ||| 需要 ||| 符合国家现行标准《城镇燃气设施运行、维护和检修安全技术规程》CJJ 51、《城镇燃气管网泄漏检测技术规程》CJJ 215和《燃气系统运行安全评价标准》GB/T 50811(内容)
入廊管线(巡查项目) ||| 巡查内容 ||| 安全(内容)
结构本体(巡查项目) ||| 巡查内容 ||| 安全(内容)
热力管道(巡查项目) ||| 巡查子项目 ||| 检测与控制装置(巡查项目)
入廊管线(巡查项目) ||| 巡查内容 ||| 巡检(内容)
机房(巡查项目) ||| 巡查内容 ||| 巡检(内容)
消防系统(系统) ||| 巡查内容 ||| 巡检(内容)
消防系统(系统) ||| 巡查内容 ||| 保养(内容)
保养(维护方法) ||| 维护内容 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201(内容)
维修(维护方法) ||| 维护内容 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201(内容)
检测(巡查方法) ||| 巡查内容 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201(内容)
巡查(巡查方法) ||| 巡查内容 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201(内容)
保养(内容) ||| 需要 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201(内容)
维修(内容) ||| 需要 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201(内容)
巡检(内容) ||| 需要 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201(内容)
隧道(巡查项目) ||| 巡查内容 ||| 养护(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 养护(内容)
入廊管线(巡查项目) ||| 巡查内容 ||| 设计(内容)
隧道(巡查项目) ||| 巡查内容 ||| 设计(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 设计(内容)
入廊管线(巡查项目) ||| 巡查内容 ||| 施工(内容)
隧道(巡查项目) ||| 巡查内容 ||| 施工(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 施工(内容)
电力舱室(巡查项目) ||| 维护方法 ||| 及时修正状态评价结果(维护方法)
综合管廊(巡查项目) ||| 需要 ||| 常用照明设备(巡查项目)
亮灯率(内容) ||| 需要 ||| 应大于98%(内容)
结构(巡查项目) ||| 巡查内容 ||| 结构差异沉降(内容)
强冷气候(内容) ||| 巡查方法 ||| 专项检查(巡查方法)
高温预警(内容) ||| 巡查方法 ||| 专项检查(巡查方法)
雷电预警(内容) ||| 巡查方法 ||| 专项检查(巡查方法)
台风预警(内容) ||| 巡查方法 ||| 专项检查(巡查方法)
垃圾输送管道(巡查项目) ||| 巡查方法 ||| 专项检查(巡查方法)
垃圾输送管道(巡查项目) ||| 巡查内容 ||| 管道内部锈蚀(内容)
天然气管线(巡查项目) ||| 巡查内容 ||| 运行维护及安全管理(内容)
电缆(巡查项目) ||| 巡查子项目 ||| 外护套(巡查项目)
电缆(巡查项目) ||| 巡查子项目 ||| 衬垫(巡查项目)
金属构件处(巡查项目) ||| 巡查内容 ||| 无磨损(内容)
金属构件(巡查项目) ||| 巡查内容 ||| 无磨损(内容)
支架(巡查项目) ||| 巡查内容 ||| 无磨损(内容)
外护套(巡查项目) ||| 巡查内容 ||| 无磨损(内容)
钢筋混凝土结构(巡查项目) ||| 巡查内容 ||| 老化(内容)
金属构件处(巡查项目) ||| 巡查内容 ||| 老化(内容)
管线(巡查项目) ||| 巡查内容 ||| 老化(内容)
金属构件(巡查项目) ||| 巡查内容 ||| 老化(内容)
支架(巡查项目) ||| 巡查内容 ||| 老化(内容)
外护套(巡查项目) ||| 巡查内容 ||| 老化(内容)
连接处(巡查项目) ||| 巡查内容 ||| 放电(内容)
金属构件(巡查项目) ||| 巡查内容 ||| 放电(内容)
支架(巡查项目) ||| 巡查内容 ||| 放电(内容)
外护套(巡查项目) ||| 巡查内容 ||| 放电(内容)
人员进入的指定场所(巡查项目) ||| 巡查内容 ||| 开展安全培训(内容)
电力电缆(巡查项目) ||| 巡查内容 ||| 运行(内容)
设备(巡查项目) ||| 巡查内容 ||| 运行(内容)
管道(巡查项目) ||| 巡查内容 ||| 运行(内容)
统一管理平台(巡查项目) ||| 巡查内容 ||| 运行(内容)
风机(巡查项目) ||| 巡查内容 ||| 运行(内容)
监控与报警系统(系统) ||| 巡查内容 ||| 运行(内容)
通风系统(系统) ||| 巡查内容 ||| 运行(内容)
线缆(巡查项目) ||| 巡查内容 ||| 运行(内容)
照明系统(巡查项目) ||| 巡查内容 ||| 运行(内容)
入廊管线(巡查项目) ||| 巡查内容 ||| 巡检和维护计(内容)
入廊管线(巡查项目) ||| 维护方法 ||| 更新(维护方法)
管线(巡查项目) ||| 维护方法 ||| 更新(维护方法)
应急照明供电电源(巡查项目) ||| 巡查内容 ||| 转换功能(内容)
应急照明供电电源(巡查项目) ||| 巡查内容 ||| 持续供电时间(内容)
应急照明电源(巡查项目) ||| 巡查内容 ||| 持续供电时间(内容)
ACU箱(巡查项目) ||| 巡查子项目 ||| 传输设备(巡查项目)
ACU箱(巡查项目) ||| 巡查子项目 ||| 消防应急电话机(巡查项目)
ACU箱(巡查项目) ||| 巡查子项目 ||| 入孔井盖(巡查项目)
管线(巡查项目) ||| 巡查子项目 ||| 支座(巡查项目)
连接处(巡查项目) ||| 巡查子项目 ||| 法兰(巡查项目)
管线(巡查项目) ||| 巡查子项目 ||| 法兰(巡查项目)
管线(巡查项目) ||| 巡查子项目 ||| 焊接口(巡查项目)
泄漏(内容) ||| 维护方法 ||| 立即控制气源(维护方法)
综合管廊(巡查项目) ||| 巡查内容 ||| 邻近舱室及周边建(构)筑物内部(内容)
防水堵漏(内容) ||| 需要 ||| 材料(内容)
室外标识(巡查项目) ||| 巡查内容 ||| 材料(内容)
标识本体(巡查项目) ||| 巡查内容 ||| 材料(内容)
材料(内容) ||| 需要 ||| 阻燃(内容)
检测与控制装置(巡查项目) ||| 巡查内容 ||| 采用可在线检测与控制的产品(内容)
病害(内容) ||| 维护方法 ||| 及时进行修复处理(维护方法)
广播系统(巡查项目) ||| 巡查内容 ||| 语音循坏播放提醒(内容)
构筑物(巡查项目) ||| 巡查子项目 ||| 投料口(巡查项目)
管廊构筑物(巡查项目) ||| 巡查子项目 ||| 投料口(巡查项目)
通风口(巡查项目) ||| 巡查子项目 ||| 水泥盖板(巡查项目)
投料口(巡查项目) ||| 巡查子项目 ||| 水泥盖板(巡查项目)
水泥盖板(巡查项目) ||| 巡查内容 ||| 铺设完好(内容)
钢格栅(巡查项目) ||| 巡查内容 ||| 铺设整齐紧固(内容)
结构(巡查项目) ||| 巡查内容 ||| 变形(内容)
构筑物结构(巡查项目) ||| 巡查内容 ||| 变形(内容)
外观(内容) ||| 需要 ||| 变形(内容)
管段(巡查项目) ||| 巡查内容 ||| 变形(内容)
钢筋混凝土结构(巡查项目) ||| 巡查内容 ||| 变形(内容)
构件(巡查项目) ||| 巡查内容 ||| 变形(内容)
钢格栅(巡查项目) ||| 巡查内容 ||| 变形(内容)
亮灯率(内容) ||| 需要 ||| 不应小于95％(内容)
管线(巡查项目) ||| 巡查内容 ||| 到期(内容)
入廊管线(巡查项目) ||| 维护方法 ||| 改造(维护方法)
管线(巡查项目) ||| 维护方法 ||| 改造(维护方法)
管线(巡查项目) ||| 维护方法 ||| 必要的安全防护措施(维护方法)
变电室(巡查项目) ||| 巡查内容 ||| 照明照度(内容)
ACU箱(巡查项目) ||| 巡查子项目 ||| PLC设备(巡查项目)
ACU箱(巡查项目) ||| 巡查子项目 ||| 视频解码器(巡查项目)
管线(巡查项目) ||| 巡查子项目 ||| 流量计(巡查项目)
泄漏(内容) ||| 维护方法 ||| 天然气浓度检测(维护方法)
天然气浓度检测(巡查方法) ||| 需要 ||| 根据检测结果采取相应措施(维护方法)
泄漏(内容) ||| 维护方法 ||| 根据检测结果采取相应措施(维护方法)
材料(内容) ||| 需要 ||| 安全可靠(内容)
材料(内容) ||| 需要 ||| 无毒(内容)
材料(内容) ||| 需要 ||| 不燃(内容)
材料(内容) ||| 需要 ||| 自然环境影响(内容)
材料(内容) ||| 需要 ||| 使用寿命(内容)
入廊管线(巡查项目) ||| 巡查方法 ||| 定期巡检(巡查方法)
设施(巡查项目) ||| 巡查内容 ||| 地面道路交通(内容)
井口设施(巡查项目) ||| 巡查内容 ||| 地面道路交通(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 地面道路交通(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 机箱门(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 通道门(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 信号(巡查项目)
应力集中处(巡查项目) ||| 巡查内容 ||| 弯头(内容)
应力集中释放处(巡查项目) ||| 巡查内容 ||| 弯头(内容)
排水设施(巡查项目) ||| 巡查子项目 ||| 明沟(巡查项目)
预留孔(巡查项目) ||| 巡查内容 ||| 防水封堵(内容)
管廊结构结合处(巡查项目) ||| 巡查内容 ||| 防水封堵(内容)
已用管孔(巡查项目) ||| 巡查内容 ||| 防水封堵(内容)
天然气管道(巡查项目) ||| 巡查内容 ||| 运行状况(内容)
通风管道(巡查项目) ||| 巡查子项目 ||| 附件(巡查项目)
管道(巡查项目) ||| 巡查子项目 ||| 附件(巡查项目)
天然气管道(巡查项目) ||| 巡查子项目 ||| 附件(巡查项目)
设施保护区范围(内容) ||| 需要 ||| 深基坑(内容)
设施保护区范围(内容) ||| 需要 ||| 打桩(内容)
应力集中处(巡查项目) ||| 巡查内容 ||| 转角(内容)
应力集中释放处(巡查项目) ||| 巡查内容 ||| 转角(内容)
应力集中处(巡查项目) ||| 巡查内容 ||| 分支(内容)
应力集中释放处(巡查项目) ||| 巡查内容 ||| 分支(内容)
空闲管孔(巡查项目) ||| 巡查内容 ||| 严密封堵(内容)
支吊架(巡查项目) ||| 巡查内容 ||| 表面完好(内容)
桥(支）架(巡查项目) ||| 巡查内容 ||| 表面完好(内容)
防雷及接地设施(巡查项目) ||| 巡查内容 ||| 测试项目(内容)
照明灯具(巡查项目) ||| 巡查内容 ||| 接地电阻(内容)
机壳(巡查项目) ||| 巡查内容 ||| 接地电阻(内容)
电机(巡查项目) ||| 巡查内容 ||| 接地电阻(内容)
防雷及接地设施(巡查项目) ||| 巡查内容 ||| 接地电阻(内容)
管段(巡查项目) ||| 巡查内容 ||| 标志明显(内容)
消防控制室(巡查项目) ||| 巡查内容 ||| 安全、应急管理(内容)
综合管廊(巡查项目) ||| 巡查方法 ||| 实时监控(巡查方法)
管道(巡查项目) ||| 巡查子项目 ||| 焊缝(巡查项目)
接口(巡查项目) ||| 巡查内容 ||| 完好性(内容)
病害(内容) ||| 维护方法 ||| 根据不同的程度作相应、及时、有效的处理(维护方法)
渗漏水点(巡查项目) ||| 巡查周期 ||| 每季度1次(巡查周期)
桥(支）架(巡查项目) ||| 巡查内容 ||| 油漆剥落(内容)
电力电缆(巡查项目) ||| 巡查内容 ||| 符合现行行业标准《电力设备预防性试验规程》DL/T 596(内容)
接地电阻(内容) ||| 需要 ||| 符合现行行业标准《电力设备预防性试验规程》DL/T 596(内容)
测试项目(内容) ||| 需要 ||| 符合现行行业标准《电力设备预防性试验规程》DL/T 596(内容)
软件(巡查项目) ||| 巡查内容 ||| 升级(内容)
运行数据管理(内容) ||| 需要 ||| 数据备份(内容)
软件(巡查项目) ||| 巡查内容 ||| 数据备份(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 消防控制室(巡查项目)
附属构筑物(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
舱室排水(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
排水管道(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
入廊管线(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
电力电缆(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
监控与报警系统(系统) ||| 巡查内容 ||| 运行维护(内容)
管廊本体(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
消防系统(系统) ||| 巡查内容 ||| 运行维护(内容)
综合管廊本体(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
控制功能(内容) ||| 需要 ||| 运行维护(内容)
灯具(内容) ||| 需要 ||| 运行维护(内容)
天然气管道(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
热力管道(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
给水管道(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
仪表(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
水泵(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
阀件(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
给水排水管道(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
消防控制室(巡查项目) ||| 巡查内容 ||| 运行维护(内容)
管理(内容) ||| 需要 ||| 符合现行国家标准《消防控制室通用技术要求》GB 25506(内容)
安全、应急管理(内容) ||| 需要 ||| 符合现行国家标准《消防控制室通用技术要求》GB 25506(内容)
运行维护(内容) ||| 需要 ||| 符合现行国家标准《消防控制室通用技术要求》GB 25506(内容)
综合监控系统(巡查项目) ||| 巡查子项目 ||| 有线通信系统(巡查项目)
有线通信系统(巡查项目) ||| 巡查子项目 ||| 通信网络平台(巡查项目)
有线通信系统(巡查项目) ||| 巡查子项目 ||| 电话系统(巡查项目)
电话系统(巡查项目) ||| 巡查内容 ||| 通信联络(内容)
管道(巡查项目) ||| 巡查子项目 ||| 阴极保护系统(巡查项目)
管道(巡查项目) ||| 巡查子项目 ||| 配件(巡查项目)
焊缝(巡查项目) ||| 巡查内容 ||| 质量(内容)
管道(巡查项目) ||| 巡查子项目 ||| 基设备(巡查项目)
水泵(巡查项目) ||| 巡查内容 ||| 启停水位(内容)
水泵(巡查项目) ||| 巡查内容 ||| 报警水位(内容)
通风(内容) ||| 需要 ||| 良好(内容)
接地线(巡查项目) ||| 巡查内容 ||| 良好(内容)
连接(内容) ||| 需要 ||| 紧固可靠(内容)
连接处(巡查项目) ||| 巡查内容 ||| 紧固可靠(内容)
单芯电缆(巡查项目) ||| 巡查子项目 ||| 金属保护层(巡查项目)
单芯电缆金属保护层(巡查项目) ||| 巡查内容 ||| 接地电流(内容)
金属保护层(巡查项目) ||| 巡查内容 ||| 接地电流(内容)
垃圾输送管道(巡查项目) ||| 巡查周期 ||| 不少于1次/月(巡查周期)
监控中心(巡查项目) ||| 巡查子项目 ||| 机房(巡查项目)
机房(巡查项目) ||| 巡查内容 ||| 供电(内容)
机房(巡查项目) ||| 巡查内容 ||| 接地(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 给排水系统(巡查项目)
入廊管线(巡查项目) ||| 维护方法 ||| 应急处置(维护方法)
综合管廊(巡查项目) ||| 巡查子项目 ||| 主体仓室(巡查项目)
结构本体(巡查项目) ||| 巡查子项目 ||| 排水舱(巡查项目)
排水舱(巡查项目) ||| 巡查内容 ||| 气密(内容)
照明系统(巡查项目) ||| 巡查子项目 ||| 应急照明电源(巡查项目)
机房(巡查项目) ||| 巡查内容 ||| 值班(内容)
机房(巡查项目) ||| 巡查内容 ||| 环境维护(内容)
给排水系统(巡查项目) ||| 巡查周期 ||| 汛期、供热期应增加巡检频次(巡查周期)
应急处置(维护方法) ||| 需要 ||| 采取防止次生灾害产生的措施(维护方法)
病毒特征库(巡查项目) ||| 巡查内容 ||| 及时更新(内容)
应用软件(巡查项目) ||| 巡查内容 ||| 版本升级(内容)
病毒防治软件(巡查项目) ||| 巡查内容 ||| 版本升级(内容)
远程通信系统(巡查项目) ||| 巡查内容 ||| 通讯功能正常(内容)
无线通讯系统(巡查项目) ||| 巡查内容 ||| 通讯功能正常(内容)
固定语言通讯系统(巡查项目) ||| 巡查内容 ||| 通讯功能正常(内容)
主体仓室(巡查项目) ||| 巡查子项目 ||| 混凝土表面(巡查项目)
混凝土表面(巡查项目) ||| 巡查内容 ||| 有明显缺陷(内容)
有明显缺陷(内容) ||| 包含 ||| 碎裂(内容)
排水舱(巡查项目) ||| 巡查方法 ||| 从临近舱室巡视(巡查方法)
舱室排水(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
排水管道(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
入廊管线(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
电力电缆(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
综合管廊本体(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
天然气管道(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
热力管道(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
数据(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
给水管道(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
仪表(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
水泵(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
阀件(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
给水排水管道(巡查项目) ||| 巡查内容 ||| 安全管理(内容)
监控中心(巡查项目) ||| 巡查内容 ||| 照度(内容)
应急照明供电电源(巡查项目) ||| 巡查内容 ||| 照度(内容)
照明系统(巡查项目) ||| 巡查内容 ||| 照度(内容)
设置(内容) ||| 需要 ||| 符合现行国家标准《城市综合管廊工程技术规范》GB 50838(内容)
